ST
226,652
WL
226,172;247,160;268,172;289,160;310,172;331,160;352,172;373,160;394,172;415,160;436,172;457,160;478,172;499,160;520,172;541,160;562,172;562,196;583,208;583,232;604,244;604,268;583,280;583,304;562,316;541,304;520,316;499,304;478,316;457,304;436,316;436,340;457,352;457,376;478,388;478,412;499,424;499,448;478,460;478,484;457,496;436,484;415,496;415,520;394,532;394,556;415,568;415,592;436,604;436,628;415,640;415,664;394,676;394,700;373,712;352,700;331,712;310,700;289,712;268,700;247,712;226,700;226,676;205,664;205,640;226,628;226,604;247,592;247,568;268,556;268,532;247,520;247,496;226,484;226,460;205,448;205,424;184,412;184,388;205,376;205,352;226,340;226,316;247,304;247,280;226,268;226,244;205,232;205,208;226,196;226,172
247,208;268,196;289,208;310,196;331,208;352,196;373,208;394,196;415,208;436,196;457,208;478,196;499,208;520,196;541,208;541,232;562,244;562,268;541,280;520,268;499,280;478,268;457,280;436,268;415,280;415,304;394,316;394,340;415,352;415,376;436,388;436,412;457,424;457,448;436,460;415,448;394,460;394,484;373,496;373,520;352,532;352,556;373,568;373,592;394,604;394,628;373,640;373,664;352,676;331,664;310,676;289,664;268,676;247,664;247,640;268,628;268,604;289,592;289,568;310,556;310,532;289,520;289,496;268,484;268,460;247,448;247,424;268,412;268,388;247,376;247,352;268,340;268,316;289,304;289,280;268,268;268,244;247,232;247,208
CP
247,640;226,628
268,604;247,592
289,568;268,556
268,532;289,520
247,496;268,484
226,460;247,448
205,424;226,412
247,424;226,412
226,388;205,376
226,412;226,388
226,388;247,376
226,388;226,412
247,352;226,340
268,316;247,304
247,280;268,268
226,244;247,232
247,208;226,196
268,196;268,172
310,196;310,172
352,196;352,172
394,196;394,172
436,196;436,172
478,196;478,172
520,196;520,172
541,208;562,196
562,244;583,232
562,268;583,280
541,280;541,304
499,280;499,304
457,280;457,304
415,304;436,316
415,352;436,340
436,388;457,376
457,424;478,412
457,448;478,460
436,460;436,484
394,484;415,496
373,520;394,532
373,568;394,556
394,604;415,592
394,628;415,640
373,664;394,676
352,676;352,700
310,676;310,700
268,676;268,700
